ds,project,amount_2606,amount_2607,diff,status
DS2021080189,GIO / safous,3855,3855,0,持平
DS2024090025,GIO Lasertech,6660,6660,0,持平
DS2024100090,GIO Lasertech,4140,4140,0,持平
DS2024110015,GIO Lasertech,1617,1617,0,持平
DS2024110047,GIO Lasertech,1169,1169,0,持平
DS2025020033,GIO Lasertech,686,686,0,持平
DS2025110041,GIO 千寿制药,17848,17848,0,持平
DS2026020051,GIO 【R1_VW】,59181,0,-59181,2607 未出现
DS2023080016,GIO / R1,3000,0,-3000,2607 未出现
DS2021110005,GIO,0,12100,12100,2607 新增
DS2022110023,GIO,0,3950,3950,2607 新增
DS2023030002,GIODS2023030002,0,1200,1200,2607 新增
DS2023120097,GIODS2023120097,0,200,200,2607 新增
DS2025010091,GIODS2025010091,0,1400,1400,2607 新增
